,produc_name,alcholicity,capacity,price,keywords
151,고도리  샤인머스캣화이트와인 10.5도 750ml 망고포도와인,화이트,부드러움,40000,"지인선물,친구생일선물,냠냠맛있는,은사님선물,직장상사선물,직장동료선물,와인선물,할아버지선물,"
152,고도리  샤인머스캣화이트와인 10.5도 375ml 망고포도와인,화이트,부드러움,23000,"지인선물,친구생일선물,냠냠맛있는,은사님선물,직장상사선물,직장동료선물,와인선물,할아버지선물,"
153,문배술 40도 500ml명작 선물세트 도자기  만찬주,40%,500ml,85000,"명절선물,설선물,전통주선물,추석선물,외국인선물,특별선물,어른선물,"
154,아이엠더문 오리지널 17도 375ml 달콤한 열대과일 리큐르,17%,375ml,25200,"명절선물,설선물,추석선물,가족모임,냠냠맛있는,명절,전통주선물,추석상,혼술,혼술족,"
155,[복분자주] 주몽복분자+자연담은복분자막걸리+만월24 복분자모음,24%,350ml,22300,"명절선물,설선물,추석선물,가족모임,냠냠맛있는,직장상사선물,직장동료선물,은사님선물,외국인손님선물,"
156,담을술공방 주향이오 25도 375ml,25%,375ml,17000,"추석선물,명절선물,연말모임,어른선물,시부모님선물,냠냠맛있는,추석,추석선물용,추석선물세트,추석상,"
157,담을술공방 주향담을 41도 500ml,41%,500ml,49000,"추석선물,명절선물,연말모임,어른선물,시부모님선물,냠냠맛있는,추석,추석선물용,추석선물세트,추석상,"
158,볼빨간미자 16도 375ml,16%,375ml,15000,"전통주선물,설선물,추석선물,명절선물,연말모임,어른선물,시부모님선물,"
159,[우리술상회]손잡이 선물박스,"상품정보 제공고시제품명상품상세참조식품의 유형상품상세참조생산자상품상세참조소재지상품상세참조제조연월일상품상세참조유통기한 또는 품질유지기한상품상세참조포장단위별 내용물의 용량(중량), 수량상품상세참조포장단위별 수량상품상세참조원재료명 및 함량상품상세참조영양성분상품상세참조유전자변형식품에 해당하는 경우의 표시해당사항 없음소비자안전을 위한 주의사항지나친 음주는 뇌졸중, 기억력 손상이나 치매를 유발합니다. 임신 중 음주는 기형아 출생 위험을 높입니다. 19세 미만 판매금지수입식품에 해당하는 경우해당사항 없음",상품상세참조,1500,"선물,선물케이스,"
160,퍼플 진 36.5도 500ml,36.5%,500ml,50000,"전통주선물,설선물,추석선물,명절선물,지인선물,부모님생신,외국인선물,달달한,"
161,애플사이더 멜론서리 5도 330ml,5%,330ml,6900,"시원한,야외,캠핑감성용품,파티,전통주선물,신혼부부선물,결혼선물,집들이선물,어른선물,달콤한,"
162,[하나도가] 북한 밀주 농태기 25도 375ml 증류식소주 서민주 가양주,25%,375ml,15000,"전통주선물,천년초,외국인선물,어른선물,발효,명절선물,이북,깔끔한,풍미,구수한,"
163,부직포 와인 가방,"상품정보 제공고시제품명상품상세참조식품의 유형상품상세참조생산자상품상세참조소재지상품상세참조제조연월일상품상세참조유통기한 또는 품질유지기한상품상세참조포장단위별 내용물의 용량(중량), 수량상품상세참조포장단위별 수량상품상세참조원재료명 및 함량상품상세참조영양성분상품상세참조유전자변형식품에 해당하는 경우의 표시해당사항 없음소비자안전을 위한 주의사항지나친 음주는 뇌졸중, 기억력 손상이나 치매를 유발합니다. 임신 중 음주는 기형아 출생 위험을 높입니다. 19세 미만 판매금지수입식품에 해당하는 경우해당사항 없음",상품상세참조,1000,"술잔,술,포장,선물포장,선물용,선물,"
164,국순당 자연담은 복분자 막걸리 360ml 과일막걸리,6%,360ml,3400,"지인선물,명절선물,설선물,추석선물,어버이선물,가족모임,약주잔,술안주,술잔,술,"
165,국순당 고창 오디랑 오디주 12.5도 330ml,12.5%,330ml,4200,"지인선물,명절선물,설선물,추석선물,어버이선물,가족모임,약주잔,술안주,술잔,술,"
166,명작 복분자 13도 375ml 국순당고창명주(주),13%,375ml,8500,"지인선물,명절선물,설선물,추석선물,어버이선물,가족모임,약주잔,술안주,술잔,술,"
167,오리지널 17도 375ml,177%,750ml,48000,"지인선물,명절선물,설선물,추석선물,어버이선물,가족모임,술안주,술잔,술,파티,"
