index,제품명,keyword
509,향수우리밀막걸리,탁주 밀
510,허니문와인,기타주류 꿀 파티
511,허니비와인,기타주류 꿀 파티
512,호담,기타주류 삼 삼(蔘)류
513,호담산양산삼막걸리,탁주 쌀 삼
514,호담산양산삼주,약주/청주 삼
515,호땅,기타주류 쌀 땅콩
516,호랑이생막걸리,탁주 쌀
517,호모루덴스,탁주 쌀 드라이
518,혼디주,과실주 귤 선물
519,홍로,향기 증류주 쌀 찹쌀
520,홍삼명주,목넘김 담백 기타주류 삼 삼(蔘)류
521,홍천강탁주,탁주 쌀
522,화주,목넘김 증류주 쌀 삼 삼(蔘)류
523,황금보리소주17,증류주 보리
524,황금보리소주25,향기 증류주 보리
525,황금보리소주40,향기 목넘김 증류주 보리
526,황진이,약주/청주 쌀 오미자 산수유
527,황칠주,목넘김 기타주류
528,회곡생동동주,탁주 쌀
529,회곡생막걸리,탁주 쌀
530,흑돈주,목넘김 기타주류
531,희양산막걸리15,탁주 쌀 무감미료
532,희양산막걸리9,담백 탁주 쌀 무감미료
