index,제품명,단맛,신맛,청량감,바디감,도수,용량,가격,keyword,제조사,원재료
28,계룡백일주12년,3.0,0.2,2.2,4.0,40.0,600ml,150000,향기 기타주류 쌀 찹쌀 오미자 꽃 솔잎 ,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎"
29,계룡백일주16,1.0,1.0,1.0,1.0,16.0,700ml,18500,약주/청주 쌀 찹쌀 오미자 꽃 솔잎 ,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎"
30,계룡백일주30,2.0,0.4,1.4,3.0,30.0,400ml,20000,기타주류 쌀 찹쌀 오미자 꽃 솔잎 ,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎"
31,계룡백일주40,3.0,0.0,1.8,3.0,40.0,600ml,40000,향기 기타주류 쌀 찹쌀 오미자 꽃 솔잎 ,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎"
32,계룡산산삼주금수강산21,2.2,2.0,1.8,2.0,21.0,740ml,110000,증류주 삼 삼(蔘)류 ,농업회사법인한국산삼(주),"산양산삼,정제주,주정"
33,계룡산산삼주금수강산40,2.2,0.2,2.2,3.0,40.0,740ml,150000,향기 목넘김 증류주 삼 삼(蔘)류 ,농업회사법인한국산삼(주),"산양산삼,정제주,주정"
34,고구마아락,2.0,0.2,2.2,3.0,40.0,500ml,25000,향기 증류주 보리 고구마 ,농업회사법인배상면주가고창LB,"보리,고구마,정제수"
35,고도리레드와인스위트,3.0,3.0,2.0,3.0,12.0,750ml,22000,과실주 포도 머루  저도수,고도리와이너리,MBA머루포도
36,고도리복숭아와인,4.0,3.0,3.0,2.0,6.5,750ml,32000,탄닌감 과실주 복숭아 이색전통주 커플 디저트 친구 명절 반주 안주 부모님 선물 기념일 파티 추천 혼술 계절 저도수,고도리와이너리,복숭아
37,고도리화이트와인드라이,2.0,3.0,3.0,2.0,10.5,750ml,22000,과실주 포도  저도수,고도리와이너리,거봉포도
38,고도리화이트와인스위트,4.0,3.0,3.0,2.0,10.5,750ml,22000,과실주 포도 커플 디저트 친구 부모님 선물 추천 파티 크리스마스 저도수,고도리와이너리,거봉포도
39,고소리술,2.0,0.0,3.0,3.0,40.0,375ml,25000,증류주 쌀 선물 친구 명절 반주 안주 선물 가족 크리스마스,제주샘영농조합법인,"쌀,차조,입국,누룩,효모,효소,정제수,스테비올배당체"
40,고운달백자,1.4,1.0,2.4,5.0,52.0,200ml,"180,000",향기 목넘김 증류주 오미자 선물 선물 파티,농업회사법인(주)제이엘,오미자
41,고운달오크,1.4,1.0,2.4,5.0,52.0,200ml,"180,000",향기 목넘김 증류주 오미자 선물 선물 부모님,농업회사법인(주)제이엘,오미자
42,고창선운산땡큐복분자주,3.0,1.0,3.0,2.0,13.0,300ml,2500,과실주 복분자 소용량  저도수,농업회사법인고창선운산(유),"복분자과실,주정,효모,구연산,정제수"
43,고창선운산땡큐블루베리주,2.0,2.0,2.0,2.0,13.0,300ml,2000,과실주 베리 소용량  저도수,농업회사법인고창선운산(유),"블루베리과실,주정,효모,구연산,정제수"
44,고창선운산복분자주특1호,3.0,1.0,3.0,2.0,15.0,"1,800ml",27000,과실주 복분자  저도수,농업회사법인고창선운산(유),"복분자과실,주정,효모,구연산,정제수"
45,공주애오디와인,3.0,2.0,3.0,1.0,15.0,375ml,6000,과실주 오디  저도수,농업회사법인사곡양조원,"국내산오디,정제수,주정,과당,효모"
46,구기홍주14,3.0,1.0,2.0,3.0,14.0,360ml,10000,담백 약주/청주 쌀 구기자 선물 디저트 친구 안주 부모님 선물 파티 저도수,두이술공방,"쌀,국,구기자추출액,올리고당,효모,효소,아세설팜칼륨,정제수"
47,구름을벗삼아,3.0,3.0,3.0,3.0,6.0,750ml,1500,탄산 탁주 쌀 찹쌀 무감미료 명절 반주 선물 추천 혼술 저도수,문경주조,"정제수,찹쌀·백미,입국등"
48,귀감,1.8,0.6,2.2,3.0,25.0,350ml,25000,향기 증류주 귤 과일류 ,농업회사법인(주)시트러스,"감귤과즙,백설탕,액상효모,스테비올배당체,무수아황산"
49,그랑꼬또레드와인,3.0,3.0,3.0,2.0,12.0,750ml,35000,과실주 포도  저도수,그린영농조합법인,포도
50,그랑꼬또M56,2.0,3.0,1.0,3.0,12.0,750ml,21000,과실주 포도 홈술  저도수,그린영농조합법인,포도
51,그랑꼬또M5610,4.0,3.0,3.0,2.0,10.0,750ml,56000,과실주 포도  저도수,그린영농조합법인,포도
52,그랑꼬또로제와인,2.0,3.0,1.0,3.0,12.0,750ml,21000,과실주 포도 홈술 선물 친구 저도수,그린영농조합법인,포도
53,그랑꼬또청수,2.0,1.0,3.0,4.0,12.0,750ml,60000,과실주 포도 파티 선물 저도수,그린영농조합법인,포도
