index,제품명,keywords
147,매실향기담은술,담백 약주/청주 쌀 안주 저도수 안주
148,머루이야기,과실주 머루 소용량  저도수 
149,머르드서드라이,과실주 머루  저도수 
150,머르드서스위트,과실주 머루  저도수 
151,메로니아,기타주류 쌀 과일류  저도수 
152,메밀로,향기 목넘김 증류주 쌀 밀 선물  
153,면천두견주,약주/청주 쌀 찹쌀 꽃 선물 커플 친구 반주 부모님 안주 선물 파티 추천 가족 혼술 커플 친구 반주 부모님 안주 선물 파티 추천 가족 혼술
154,명가원복분자술,과실주 복분자  
155,명술,기타주류 삼  
156,명인안동소주22,증류주 쌀  
157,명인안동소주양반탈,증류주 쌀 선물  
158,명인안동소주호리병,증류주 쌀 선물 커플 친구 명절 안주 부모님 선물 기념일 파티 가족 커플 친구 명절 안주 부모님 선물 기념일 파티 가족
159,명인홍삼주,약주/청주 쌀 삼 선물  저도수 
160,명작복분자,과실주 복분자 커플 친구 명절 안주 선물 저도수 커플 친구 명절 안주 선물
161,명품진도홍주,향기 증류주 쌀 보리  
162,모월로,향기 증류주 쌀  
163,모월연,약주/청주 쌀 선물  저도수 
164,모월인,향기 목넘김 증류주 쌀 파티 친구 명절 선물 기념일 추천 가족 친구 명절 선물 기념일 추천 가족
165,모월청,약주/청주 쌀  
166,모을동주소주,향기 목넘김 증류주 쌀  
167,모을동주약주,약주/청주 쌀  저도수 
168,무주구천동머루와인,과실주 머루  저도수 
169,무주구천동산머루주,과실주 머루 가성비 선물 친구 추천 가족 선물 친구 추천 가족
170,문경바람백자25,향기 목넘김 증류주 사과 과일류  
171,문경바람백자40,향기 목넘김 증류주 사과 과일류 선물 디저트 추천 선물 디저트 추천
172,문경바람오크,향기 목넘김 증류주 사과 과일류 커플 디저트 친구 명절 안주 선물 추천 파티 가족 혼술 커플 디저트 친구 명절 안주 선물 추천 파티 가족 혼술
173,문경주조오미자생막걸리,담백 탄산 탁주 오미자 복날 선물 커플 친구 저도수 복날 선물 커플 친구
174,문배술헤리티지23,증류주 쌀  
175,문배술헤리티지25,증류주 쌀 선물 친구 명절 반주 부모님 기념일 선물 파티 추천 친구 명절 반주 부모님 기념일 선물 파티 추천
176,문배술헤리티지40,증류주 쌀 선물 커플 디저트 친구 명절 반주 부모님 안주 선물 파티 커플 디저트 친구 명절 반주 부모님 안주 선물 파티
177,문희문경오미자수제전통주,탁주 쌀 찹쌀 오미자 디저트 추천 안주 저도수 디저트 추천 안주
178,문희햇찹쌀수제전통주,탁주 쌀 찹쌀 친구 저도수 친구
179,미르25,증류주 쌀 파티 선물 선물
180,미르40,증류주 쌀 선물 행사 추천 선물 행사 추천
181,미생막걸리,탁주 쌀 탄산  저도수 
182,미소생막걸리,탁주 쌀  저도수 
183,미소아이스,과실주 포도  저도수 
184,미인약주,약주/청주 쌀 찹쌀 선물  저도수 
185,미인탁주,탁주 쌀 찹쌀 무감미료  저도수 
186,민속주안동소주,증류주 쌀  
187,바랑탁,탁주 쌀 찹쌀 소용량  저도수 
188,밤꽃향기,약주/청주 쌀 밤 커플 명절 추천 친구 저도수 커플 명절 추천 친구
189,방문주약주,약주/청주 쌀 찹쌀 선물  저도수 
190,방문주탁주,탁주 쌀 찹쌀 선물  저도수 
191,배꽃담은연생막걸리,탁주 쌀  저도수 
192,배도가로아19레드,향기 증류주 사과  
