단맛,신맛,청량감,바디감,도수,index
2.4,3.0,1.4,5.0,16.0,470
3.0,1.0,2.0,4.0,4.0,471
3.0,3.0,3.0,3.0,5.2,472
3.0,2.0,5.0,3.0,6.8,473
3.0,1.0,1.0,4.0,5.8,474
1.0,3.0,1.0,4.0,16.0,475
1.0,3.0,1.0,3.0,16.0,476
2.0,3.0,2.0,4.0,12.0,477
4.0,3.0,3.0,3.0,12.0,478
4.0,3.0,3.0,3.0,12.0,479
4.0,4.0,4.0,3.0,12.0,480
2.0,3.0,4.0,2.0,5.0,481
2.0,0.6,1.8,3.0,25.0,482
1.0,2.0,1.0,4.0,12.0,483
2.0,1.0,1.0,3.0,15.0,484
4.0,1.0,1.0,3.0,18.0,485
3.0,3.0,1.0,4.0,17.0,486
1.4,1.0,2.4,4.0,45.0,487
2.6,0.6,1.8,4.0,35.0,488
2.6,0.6,1.8,4.0,35.0,489
2.4,0.2,1.8,2.0,40.0,490
2.6,0.6,2.0,3.0,35.0,491
3.0,1.0,1.4,4.0,18.0,492
4.0,3.0,2.0,2.0,11.0,493
2.6,0.2,2.2,4.0,40.0,494
2.6,0.6,2.0,3.0,35.0,495
3.0,2.0,1.0,3.0,12.0,496
5.0,1.0,2.0,4.0,12.0,497
3.0,2.0,2.0,3.0,12.0,498
3.0,2.0,2.0,3.0,12.0,499
2.4,2.0,1.8,2.0,18.8,500
2.2,0.2,2.2,3.0,38.0,501
1.0,1.0,2.0,2.0,12.0,502
1.0,1.0,2.0,2.0,9.0,503
1.0,1.0,3.0,2.0,6.0,504
3.0,1.0,1.0,3.0,13.0,505
3.0,3.0,3.0,3.0,6.0,506
3.0,1.0,1.0,4.0,6.0,507
2.0,2.0,2.0,2.0,12.0,508
2.0,3.0,3.0,5.0,9.0,509
4.0,2.0,2.0,2.0,10.0,510
3.0,1.0,1.0,4.0,8.0,511
2.0,2.0,1.8,2.0,20.0,512
1.0,3.0,3.0,1.0,6.0,513
1.0,1.0,1.0,3.0,13.0,514
3.0,1.0,2.0,4.0,6.0,515
4.0,1.0,2.0,2.0,6.0,516
1.0,2.0,2.0,4.0,12.0,517
4.0,3.0,3.0,2.0,12.0,518
2.0,0.8,2.0,2.0,45.0,519
1.0,3.0,1.4,1.0,14.0,520
2.0,3.0,2.0,4.0,11.0,521
1.6,0.8,2.0,1.0,25.0,522
3.2,3.0,1.4,2.0,17.0,523
2.2,1.2,2.2,2.0,25.0,524
2.2,0.2,2.2,3.0,40.0,525
3.0,2.0,1.0,3.0,12.0,526
2.4,2.6,1.4,2.0,16.0,527
3.0,2.0,3.0,3.0,7.0,528
2.0,2.0,2.0,4.0,6.0,529
2.4,2.6,1.4,2.0,16.0,530
3.0,4.0,1.0,5.0,15.0,531
2.0,3.0,2.0,3.0,9.0,532
