제품명,설명
미생 막걸리,80여년 이어온 탁주의 명가에서 빚다
김포특주,80여년 이어온 전통주 명가에서 빚은 특별한 술
죽력고,4대에 걸쳐 130여년 동안 전승된 문화재급 전통주
송명섭 막걸리,막걸리 마니아들이 손꼽는 드라이한 막걸리 '송막'
면천두견주 360,남북정상회담 만찬주로 선정된 중요 무형문화재
면천두견주 700,남북정상회담 만찬주로 선정된 국가무형문화재
술아 연화주,여름의 연꽃과 잎을 넣어 신선하고 맑은 맛이 일품
술아 국화주,가을 국화를 넣어 꼬 끝에 스치는 향이 일품
면천두견주 900,남북정상회담 만찬주로 선정된 중요 무형문화재
술아 매화주,봄의 매화를 넣어 은은한 향이 일품
추사 로제,사과와인의 명가에서 만드는 장미빛 사과와인
추사40,사과와인 명가에서 만든 사과증류주
술아 순곡주,"겨울, 여주산 찹쌀로 빚은 순수하고 깨끗한 순곡주"
술아 막걸리,"쌀, 누룩, 물만으로 빚은 100% 수제 막걸리"
오희 스파클링 막걸리,오미자가 전하는 부드러움과 싱그러운 맛의 조화
애피소드 호프,사과와인과 맥주가 만나 새로운 미각을 자극한다
The 찾을수록 시리즈,와이너리에서 만든 이색적인 사과소주
뱅꼬레 레드와인,35년 와인메이커 외길인생의 역작
왕피천을 품은 미소생막걸리,"천년의 울진, 백년의 술도가"
미소 생막걸리,"천년의 울진, 백년의 술도가"
오메기 맑은술,제주의 풍미가 가득 담긴 제주 대표술
뱅꼬레 화이트와인,35년 와인메이커 외길인생의 역작
뱅꼬레 로제와인,35년 와인메이커 외길인생의 역작
스타베리 오디와인,국산 친환경 오디로 빚은 정통발효와인
뱅꼬레 아이스와인,35년 와인메이커 외길인생의 역작
청명주 500,충청북도 무형문화재 지정
아이원 막걸리,"시인의 마을, 장인의 양조장에서 빚다"
애피소드 상그리아,한국와인의 명가에서 만든 상그리아
애피소드 애플,명품 의성사과로 만든 탄산와인
한스오차드 사과와인,명품 의성사과로 옹기에서 숙성한 사과와인
청산녹수 생탁주,막걸리 본연의 맛에 충실한 생생한 막걸리
청산녹수 꿀막걸리,천연벌꿀로 후숙한 달콤하고 부드러운 막걸리
청산녹수 사미인주,발효과학과 전통기법이 만나 탄생한 명품 막걸리
향수 우리밀 막걸리,"시인의 마을, 장인의 양조장에서 빚다"
시인의 마을 우리쌀 막걸리,"시인의 마을, 장인의 양조장에서 빚다"
청명주 750,충청북도 무형문화재 지정
