,제품명,주종,도수,용량,가격,원재료,제조사
366,이강주375ml,리큐르,19%,375ml,4500,"쌀,소맥분,정맥,배,생강,계피,울금,꿀",전주이강주
367,이강주특7호,리큐르,25%,400mlX2,50000,"쌀,소맥분,정맥,배,생강,계피,울금,꿀",전주이강주
368,이도32,증류주,32%,750ml,37000,"물,증류원액(유기농쌀,국내산)",조은술세종
369,이동생쌀막걸리,탁주,6%,750ml,1300,"정제수,백미,팽화미,입국,아스파탐등",이동주조
370,이동쌀막걸리,살균탁주,6%,"1,200ml",1600,"정제수,백미,팽화미,입국,아스파탐등",이동주조
371,이상헌약주,약주,18%,500ml,45000,"아산쌀,국(국내산밀누룩),정제수",이가수불
372,이상헌탁주,탁주,19%,500ml,25000,"아산쌀,국(국내산밀누룩),정제수",이가수불
373,이화백주,탁주,6%,940ml,12000,"국내산햅쌀,전통누룩,정제수",이화백주순탁주
374,이화주,탁주,8%,100ml,6500,"쌀(국내산경기미100%),누룩,정제수",술샘
375,인천생소성주,탁주,6%,750ml,1200,"쌀,팽화미,정제수,국,효모,아스파탐,효소,이소말토올리고당",인천탁주
376,입장탁주_750ml,생탁주,6%,750ml,1200,"쌀,정제수,고과당,효모등",농업회사법인입장주조㈜
377,자두와인레드_750ml,과실주,12%,750ml,22000,피자두,자두사랑
378,자두와인화이트_750ml,과실주,12%,750ml,22000,후무사,자두사랑
379,자연담은복분자막걸리_360ml,살균탁주,6%,360ml,56000360ml*20병,"복분자,쌀,효모,국,과당,구연산,젖산,정제수",(농)국순당고창명주(주)
380,자연송이주_700ml,리큐르,18%,720ml,,자연송이버섯,솔래원
381,자희향,탁주,12%,500ml,16000,"찹쌀(국내산),멥쌀(국내산),누룩(국내산),정제수",자희자양
382,자희향국화주,약주,15%,500ml,20000,"찹쌀,멥쌀,누룩,정제수,국화",자희자양
383,자희향나비,탁주,8%,500ml,8000,"찹쌀(국내산),멥쌀(국내산),누룩(국내산),정제수",자희자양
384,장수생막걸리_750ml,탁주,6%,750ml,1200,"백미(국내산),말토올리고당",서울장수주식회사
