,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
457,단맛,단맛,신맛,청량감,유자,생,막걸리,맛,그래프,바디감,낮음,낮음,낮음,무거움,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,NAVER,,,,,,,,
458,월매 쌀막걸리 맛 그래프,월매,쌀,막걸리,맛,그래프,단맛,약함,신맛,청량감,바디감,가벼움,약함,약함,강함,강함,강함,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,
459,향,향,바디감,티나,(,Tina,),맛,그래프,약함,가벼움,목넘김,부드러움,강함,무거움,거침,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,
460,단맛,단맛,신맛,청량감,약함,약함,약함,바디감,가벼움,호땅,맛,그래프,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,VER,,,,,,,,,
461,베베마루 캠벨로제 맛 그래프,베베,마루,캠벨,로제,맛,그래프,단맛,신맛,청량감,바디감,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,NAVER,,,,,,
462,향,향,바디감,막,시모,40,맛,그래프,약함,가벼움,목넘김,부드러움,강함,무거움,거침,출처,:,한국,가양주,연구소,류인수,소장,VER,,,,,,,,,,
463,단맛,단맛,신맛,부안,참뽕,와인,맛,그래프,청량감,바디감,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,NAVER,,,,,,,,
464,단맛,단맛,신맛,청량감,바디감,기다림,25,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,
465,단맛,단맛,신맛,청량감,바디감,약함,약함,약함,가벼움,두,유노,맛,그래프,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,VER,,,,
466,향,향,바디감,약함,가벼움,목넘김,부드러움,여강,맛,그래프,강함,무거움,거침,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명우,(,VER,,,,,,,,
467,컨츄리 산머루와인(스위트) 맛 그래프,컨츄리,산머루,와인,(,스위트,),맛,그래프,단맛,신맛,바디감,목넘김,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,
468,단맛,단맛,신맛,청량감,바디감,천마,이야기,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,NAVER,,,,,,,,
469,단맛,단맛,신맛,청량감,바디감,이강주,(,25,%,),맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,
470,단맛,단맛,신맛,청량감,바디감,낮음,낮음,낮음,무거움,맛,그래프,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,,
471,단맛,단맛,신맛,청량감,바디감,붉은,원숭이,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,
472,단맛,단맛,신맛,청량감,바디감,배꽃,담은,연,생,막걸리,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,
473,안성맞춤 생막걸리 맛 그래프,안성맞춤,생,막걸리,맛,그래프,단맛,약함,신맛,청량감,바디감,가벼움,약함,약함,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,
474,호담산양산삼주 맛 그래프,호담,산양,산삼주,맛,그래프,단맛,신맛,청량감,바디감,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,NAVER,,,,,,,
475,술아 연화주 맛 그래프,술아,연화,주,맛,그래프,단맛,신맛,약함,청량감,바디감,가벼움,약함,약함,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,
476,고은달 오크 맛 그래프,고은,달,오크,맛,그래프,향,바디감,가벼움,목넘김,부드러움,약함,강함,무거움,거침,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,,,,
477,단맛,단맛,신맛,청량감,모을,동주,약주,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,바디감,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,VER,무거움,,,
478,바디감,바디감,약함,가벼움,흑돈,주,맛,그래프,목넘김,부드러움,강함,무거움,거침,출처,:,한국,가양주,연구소,류인수,소장,VER,,,,,,,,,,,,
479,단맛,단맛,신맛,청량감,청송,주왕,사과,막걸리,맛,그래프,약함,약함,약함,바디감,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,VER,,,,,,
480,단맛,단맛,신맛,청량감,바디감,동해,동동주,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,",",NAVER,,,,,,,
481,무주구천동 산머루주 맛 그래프,무주,구천동,산머루,주,맛,그래프,단맛,신맛,청량감,바디감,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,NAVER,,,,,,
482,편백숲 산소막걸리 딸기스파클링 맛 그래프,편백,숲,산소,막걸리,딸기,스파클링,맛,그래프,단맛,신맛,청량감,바디감,약함,약함,약함,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,NAVER,,,,
483,단맛,단맛,신맛,청량감,바디감,소백산,생,만찬,주,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,
484,단맛,단맛,신맛,청량감,바디감,자희,향,탁주,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,
