,제품명,향기,단맛,신맛,청량감,바디감,목넘김,균형감
291,술헤는밤,,2.0,4.0,2.0,3.0,,
292,스타베리오디와인,,3.0,4.0,3.0,3.0,,
293,시나브로드글로리아,,3.0,3.0,2.0,2.0,,
294,시나브로레드드라이,,2.0,3.0,3.0,3.0,,
295,시나브로레드스위트,,3.0,3.0,3.0,2.0,,
296,시나브로로제와인,,3.0,3.0,3.0,3.0,,
297,시나브로에뚜왈로제스파클링와인,,2.0,3.0,4.0,2.0,,
298,시나브로에뚜왈스파클링,,3.0,3.0,4.0,2.0,,
299,시나브로화이트와인,,4.0,4.0,4.0,3.0,,
300,시인의마을우리쌀막걸리,,2.0,3.0,3.0,4.0,,
301,신례명주,,,,4.0,4.0,2.0,
302,신선주,,3.0,3.0,2.0,4.0,,
303,신선주백주,,2.0,3.0,1.0,3.0,3.0,
304,신선주약주,,3.0,3.0,3.0,3.0,,
305,신선주증류주,4.0,,4.0,,3.0,2.0,
306,심플리애플,4.0,4.0,,,1.0,2.0,3.0
307,아이싱,,3.0,1.0,1.0,3.0,,
308,아이원막걸리,,3.0,3.0,3.0,2.0,,
309,아황주,,1.0,3.0,1.0,3.0,,
310,안동소주느낌19.8,2.0,,,,2.0,2.0,
311,안동소주느낌30,3.0,,,,3.0,3.0,
312,안동소주일품17,1.0,3.0,,,2.0,,
313,안동소주일품21,1.0,3.0,,,2.0,,
314,안동소주일품골드,1.0,3.0,,,3.0,,
315,안동소주필(Feel),3.0,,,,3.0,4.0,
316,안성맞춤생막걸리,,3.0,2.0,3.0,2.0,,
317,안양동동주,,3.0,3.0,3.0,3.0,,
318,애석,,4.0,1.0,3.0,3.0,,
319,애피소드상그리아,,4.0,4.0,4.0,2.0,,
320,애피소드애플,,4.0,4.0,4.0,2.0,,
321,애피소드호프,,4.0,4.0,4.0,2.0,,
322,야관문막걸리,,1.0,3.0,2.0,1.0,,
323,양촌생동동주,,2.0,3.0,2.0,2.0,,
324,양촌생막걸리,,2.0,2.0,3.0,2.0,,
325,어우야,2.0,,,,2.0,3.0,
326,여강,3.0,,,,3.0,3.0,
327,여포의꿈(레드드라이),,2.0,2.0,,2.0,2.0,
328,여포의꿈(레드스위트),,4.0,1.0,,3.0,2.0,
329,여포의꿈(화이트),,1.0,2.0,,2.0,2.0,
330,연천아주,,2.0,4.0,3.0,3.0,,
331,연천연주,,2.0,4.0,2.0,3.0,,
332,연천우주,3.0,,,,3.0,2.0,
333,영일만친구막걸리,,2.0,2.0,3.0,2.0,,
334,예담은한산소곡주,,4.0,1.0,1.0,3.0,,
335,예담은한산소곡화주,2.0,3.0,,,3.0,,
336,예밀와인레드드라이,,1.0,1.0,2.0,3.0,,
337,예밀와인로제,,1.0,1.0,2.0,3.0,,
338,예밀인레드스위트,,4.0,1.0,2.0,3.0,,
339,예주,,1.0,3.0,1.0,3.0,,
340,예천주만월24%,3.0,,,,2.0,2.0,
341,예천주만월40%,4.0,,,,4.0,3.0,
342,예천주사월,0.0,,,,,,
343,예천주사월36.5%,3.0,,,,2.0,3.0,
344,예화,,2.0,1.0,1.0,3.0,,
345,오디랑맛,,3.0,1.0,,1.0,3.0,
346,오매백주,,5.0,1.0,1.0,1.0,,
347,오메기맑은술,,1.0,5.0,1.0,3.0,,
348,오메기술,,2.0,2.0,1.0,3.0,,
349,오메락퍽,3.0,3.0,,,4.0,,
350,오미로제프리미어와인,,3.0,4.0,4.0,4.0,,
351,오미시앙스페셜,,1.0,3.0,,2.0,2.0,
352,오산막걸리,,2.0,4.0,2.0,3.0,,
353,오희스파클링막걸리,,1.0,3.0,3.0,2.0,,
354,왕율주,3.0,,,,3.0,3.0,
355,왕피천을품은미소생막걸리,,3.0,3.0,3.0,2.0,,
356,우곡생주,,4.0,2.0,2.0,5.0,,
357,우렁이쌀손막걸리,,4.0,1.0,3.0,2.0,,
358,운암1945,,3.0,3.0,,3.0,,3.0
359,원매,4.0,,,,3.0,1.0,
360,원매프리미엄,3.0,2.0,,,4.0,,
361,원조소곡주,3.0,,,,2.0,3.0,
362,원조소곡주,,3.0,1.0,4.0,2.0,,
363,월매쌀막걸리,,2.0,2.0,3.0,1.0,,
364,유기농이도,,2.0,0.0,0.0,3.0,,
365,유기농이도14,,3.0,3.0,3.0,2.0,,
366,유자동동주,,2.0,3.0,3.0,3.0,,
367,유자생막걸리,,2.0,3.0,3.0,5.0,,
368,율무동동주,,2.0,4.0,3.0,4.0,,
369,은자골곶감생탁배기,,1.0,1.0,3.0,5.0,,
370,은자골생탁배기,,1.0,3.0,3.0,3.0,,
371,이강주(19%),,2.0,0.0,2.0,4.0,,
372,이강주(25%),,2.0,0.0,2.0,2.0,,
373,이강주(25%),,2.0,0.0,2.0,2.0,,
374,이도32,2.0,2.0,,,2.0,3.0,3.0
375,이동생쌀막걸리,,1.0,3.0,3.0,4.0,,
376,이동쌀막걸리,,3.0,1.0,1.0,3.0,,
377,이상헌약주,,3.0,3.0,3.0,3.0,,
378,이상헌탁주,,2.0,3.0,3.0,3.0,,
379,이화백주,,3.0,3.0,4.0,3.0,,
380,인천생소성주,,1.0,2.0,1.0,2.0,,
